categoria,ent,fecha,popularity_score
Restaurantes,Aguascalientes,2018-12-30,65
Restaurantes,Aguascalientes,2019-01-06,54
Restaurantes,Aguascalientes,2019-01-13,66
Restaurantes,Aguascalientes,2019-01-20,44
Restaurantes,Aguascalientes,2019-01-27,74
Restaurantes,Aguascalientes,2019-02-03,51
Restaurantes,Aguascalientes,2019-02-10,44
Restaurantes,Aguascalientes,2019-02-17,80
Restaurantes,Aguascalientes,2019-02-24,69
Restaurantes,Aguascalientes,2019-03-03,58
Restaurantes,Aguascalientes,2019-03-10,49
Restaurantes,Aguascalientes,2019-03-17,64
Restaurantes,Aguascalientes,2019-03-24,73
Restaurantes,Aguascalientes,2019-03-31,64
Restaurantes,Aguascalientes,2019-04-07,56
Restaurantes,Aguascalientes,2019-04-14,87
Restaurantes,Aguascalientes,2019-04-21,52
Restaurantes,Aguascalientes,2019-04-28,52
Restaurantes,Aguascalientes,2019-05-05,57
Restaurantes,Aguascalientes,2019-05-12,56
Restaurantes,Aguascalientes,2019-05-19,58
Restaurantes,Aguascalientes,2019-05-26,70
Restaurantes,Aguascalientes,2019-06-02,55
Restaurantes,Aguascalientes,2019-06-09,77
Restaurantes,Aguascalientes,2019-06-16,64
Restaurantes,Aguascalientes,2019-06-23,82
Restaurantes,Aguascalientes,2019-06-30,58
Restaurantes,Aguascalientes,2019-07-07,62
Restaurantes,Aguascalientes,2019-07-14,78
Restaurantes,Aguascalientes,2019-07-21,80
Restaurantes,Aguascalientes,2019-07-28,68
Restaurantes,Aguascalientes,2019-08-04,76
Restaurantes,Aguascalientes,2019-08-11,60
Restaurantes,Aguascalientes,2019-08-18,60
Restaurantes,Aguascalientes,2019-08-25,79
Restaurantes,Aguascalientes,2019-09-01,93
Restaurantes,Aguascalientes,2019-09-08,71
Restaurantes,Aguascalientes,2019-09-15,75
Restaurantes,Aguascalientes,2019-09-22,62
Restaurantes,Aguascalientes,2019-09-29,54
Restaurantes,Aguascalientes,2019-10-06,60
Restaurantes,Aguascalientes,2019-10-13,62
Restaurantes,Aguascalientes,2019-10-20,63
Restaurantes,Aguascalientes,2019-10-27,54
Restaurantes,Aguascalientes,2019-11-03,76
Restaurantes,Aguascalientes,2019-11-10,65
Restaurantes,Aguascalientes,2019-11-17,76
Restaurantes,Aguascalientes,2019-11-24,67
Restaurantes,Aguascalientes,2019-12-01,58
Restaurantes,Aguascalientes,2019-12-08,72
Restaurantes,Aguascalientes,2019-12-15,83
Restaurantes,Aguascalientes,2019-12-22,68
Restaurantes,Aguascalientes,2019-12-29,88
Restaurantes,Aguascalientes,2020-01-05,52
Restaurantes,Aguascalientes,2020-01-12,62
Restaurantes,Aguascalientes,2020-01-19,52
Restaurantes,Aguascalientes,2020-01-26,50
Restaurantes,Aguascalientes,2020-02-02,61
Restaurantes,Aguascalientes,2020-02-09,61
Restaurantes,Aguascalientes,2020-02-16,64
Restaurantes,Aguascalientes,2020-02-23,71
Restaurantes,Aguascalientes,2020-03-01,58
Restaurantes,Aguascalientes,2020-03-08,60
Restaurantes,Aguascalientes,2020-03-15,51
Restaurantes,Aguascalientes,2020-03-22,48
